City	Rank	Population	State
Lincoln	268738	72	Nebraska
Buffalo	258959	73	New York
Jersey City	257342	74	New Jersey
Chula Vista	256780	75	California
Fort Wayne	256496	76	Indiana
Orlando	255483	77	Florida
St. Petersburg	249688	78	Florida
Chandler	249146	79	Arizona
Laredo	248142	80	Texas
Norfolk	246139	81	Virginia
Durham	245475	82	North Carolina
Madison	243344	83	Wisconsin
Lubbock	239538	84	Texas
Irvine	236716	85	California
Winston-Salem	236441	86	North Carolina
Glendale	234632	87	Arizona
Garland	234566	88	Texas
Hialeah	233394	89	Florida
Reno	233294	90	Nevada
Chesapeake	230571	91	Virginia
Gilbert	229972	92	Arizona
Baton Rouge	229426	93	Louisiana
Irving	228653	94	Texas
Scottsdale	226918	95	Arizona
North Las Vegas	226877	96	Nevada
Fremont	224922	97	California
Boise City	214237	98	Idaho
Richmond	214114	99	Virginia
San Bernardino	213708	100	California
Birmingham	212113	101	Alabama
Spokane	210721	102	Washington
Rochester	210358	103	New York
Des Moines	207510	104	Iowa
Modesto	204933	105	California
Fayetteville	204408	106	North Carolina
Tacoma	203446	107	Washington
Oxnard	203007	108	California
Fontana	203003	109	California
Columbus	202824	110	Georgia
Montgomery	201332	111	Alabama
Moreno Valley	201175	112	California
Shreveport	200327	113	Louisiana
Aurora	199963	114	Illinois
Yonkers	199766	115	New York
Akron	198100	116	Ohio
Huntington Beach	197575	117	California
Little Rock	197357	118	Arkansas
Augusta-Richmond County	197350	119	Georgia
Amarillo	196429	120	Texas
Glendale	196021	121	California
Mobile	194899	122	Alabama
Grand Rapids	192294	123	Michigan
Salt Lake City	191180	124	Utah
Tallahassee	186411	125	Florida
Huntsville	186254	126	Alabama
Grand Prairie	183372	127	Texas
Knoxville	183270	128	Tennessee
Worcester	182544	129	Massachusetts
Newport News	182020	130	Virginia
Brownsville	181860	131	Texas
Overland Park	181260	132	Kansas
Santa Clarita	179590	133	California
Providence	177994	134	Rhode Island
Garden Grove	175140	135	California
Chattanooga	173366	136	Tennessee
Oceanside	172794	137	California
Jackson	172638	138	Mississippi
Fort Lauderdale	172389	139	Florida
Santa Rosa	171990	140	California
Rancho Cucamonga	171386	141	California
Port St. Lucie	171016	142	Florida
Tempe	168228	143	Arizona
Ontario	167500	144	California
Vancouver	167405	145	Washington
Cape Coral	165831	146	Florida
Sioux Falls	164676	147	South Dakota
Springfield	164122	148	Missouri
Peoria	162592	149	Arizona
Pembroke Pines	162329	150	Florida
Elk Grove	161007	151	California
Salem	160614	152	Oregon
Lancaster	159523	153	California
Corona	159503	154	California
Eugene	159190	155	Oregon
Palmdale	157161	156	California
Salinas	155662	157	California
Springfield	153703	158	Massachusetts
Pasadena	152735	159	Texas
Fort Collins	152061	160	Colorado
Hayward	151574	161	California
Pomona	151348	162	California
Cary	151088	163	North Carolina
Rockford	150251	164	Illinois
Alexandria	148892	165	Virginia
Escondido	148738	166	California
McKinney	148559	167	Texas
Kansas City	148483	168	Kansas
Joliet	147806	169	Illinois
Sunnyvale	147559	170	California
Torrance	147478	171	California
Bridgeport	147216	172	Connecticut
Lakewood	147214	173	Colorado
Hollywood	146526	174	Florida
Paterson	145948	175	New Jersey
Naperville	144864	176	Illinois
Syracuse	144669	177	New York
Mesquite	143484	178	Texas
Dayton	143355	179	Ohio
Savannah	142772	180	Georgia
Clarksville	142357	181	Tennessee
Orange	139969	182	California
Pasadena	139731	183	California
Fullerton	138981	184	California
Killeen	137147	185	Texas
Frisco	136791	186	Texas
Hampton	136699	187	Virginia
McAllen	136639	188	Texas
Warren	134873	189	Michigan
Bellevue	133992	190	Washington
West Valley City	133579	191	Utah
Columbia	133358	192	South Carolina
Olathe	131885	193	Kansas
Sterling Heights	131224	194	Michigan
New Haven	130660	195	Connecticut
Miramar	130288	196	Florida
Waco	129030	197	Texas
Thousand Oaks	128731	198	California
Cedar Rapids	128429	199	Iowa
Charleston	127999	200	South Carolina
Visalia	127763	201	California
Topeka	127679	202	Kansas
Elizabeth	127558	203	New Jersey
Gainesville	127488	204	Florida
Thornton	127359	205	Colorado
Roseville	127035	206	California
Carrollton	126700	207	Texas
Coral Springs	126604	208	Florida
Stamford	126456	209	Connecticut
Simi Valley	126181	210	California
Concord	125880	211	California
Hartford	125017	212	Connecticut
Kent	124435	213	Washington
Lafayette	124276	214	Louisiana
Midland	123933	215	Texas
Surprise	123546	216	Arizona
Denton	123099	217	Texas
Victorville	121096	218	California
Evansville	120310	219	Indiana
Santa Clara	120245	220	California
Abilene	120099	221	Texas
Athens-Clarke County	119980	222	Georgia
Vallejo	118837	223	California
Allentown	118577	224	Pennsylvania
Norman	118197	225	Oklahoma
Beaumont	117796	226	Texas
Independence	117240	227	Missouri
Murfreesboro	117044	228	Tennessee
Ann Arbor	117025	229	Michigan
Springfield	117006	230	Illinois
Berkeley	116768	231	California
Peoria	116513	232	Illinois
Provo	116288	233	Utah
El Monte	115708	234	California
Columbia	115276	235	Missouri
Lansing	113972	236	Michigan
Fargo	113658	237	North Dakota
Downey	113242	238	California
Costa Mesa	112174	239	California
Wilmington	112067	240	North Carolina
Arvada	111707	241	Colorado
Inglewood	111542	242	California
Miami Gardens	111378	243	Florida
Carlsbad	110972	244	California
Westminster	110945	245	Colorado
Rochester	110742	246	Minnesota
Odessa	110720	247	Texas
Manchester	110378	248	New Hampshire
Elgin	110145	249	Illinois
West Jordan	110077	250	Utah
Round Rock	109821	251	Texas
Clearwater	109703	252	Florida
Waterbury	109676	253	Connecticut
Gresham	109397	254	Oregon
Fairfield	109320	255	California
Billings	109059	256	Montana
Lowell	108861	257	Massachusetts
San Buenaventura (Ventura)	108817	258	California
Pueblo	108249	259	Colorado
High Point	107741	260	North Carolina
West Covina	107740	261	California
Richmond	107571	262	California
Murrieta	107479	263	California
Cambridge	107289	264	Massachusetts
Antioch	107100	265	California
Temecula	106780	266	California
Norwalk	106589	267	California
Centennial	106114	268	Colorado
Everett	105370	269	Washington
Palm Bay	104898	270	Florida
Wichita Falls	104898	271	Texas
Green Bay	104779	272	Wisconsin
Daly City	104739	273	California
Burbank	104709	274	California
Richardson	104475	275	Texas
Pompano Beach	104410	276	Florida
North Charleston	104054	277	South Carolina
Broken Arrow	103500	278	Oklahoma
Boulder	103166	279	Colorado
West Palm Beach	102436	280	Florida
Santa Maria	102216	281	California
El Cajon	102211	282	California
Davenport	102157	283	Iowa
Rialto	101910	284	California
Las Cruces	101324	285	New Mexico
San Mateo	101128	286	California
Lewisville	101074	287	Texas
South Bend	100886	288	Indiana
Lakeland	100710	289	Florida
Erie	100671	290	Pennsylvania
Tyler	100223	291	Texas
Pearland	100065	292	Texas
College Station	100050	293	Texas
Kenosha	99889	294	Wisconsin
Sandy Springs	99770	295	Georgia
Clovis	99769	296	California
Flint	99763	297	Michigan
Roanoke	98465	298	Virginia
Albany	98424	299	New York
Jurupa Valley	98030	300	California
Compton	97877	301	California
San Angelo	97492	302	Texas
Hillsboro	97368	303	Oregon
Lawton	97151	304	Oklahoma
Renton	97003	305	Washington
Vista	96929	306	California
Davie	96830	307	Florida
Greeley	96539	308	Colorado
Mission Viejo	96346	309	California
Portsmouth	96205	310	Virginia
Dearborn	95884	311	Michigan
South Gate	95677	312	California
Tuscaloosa	95334	313	Alabama
Livonia	95208	314	Michigan
New Bedford	95078	315	Massachusetts
Vacaville	94275	316	California
Brockton	94089	317	Massachusetts
Roswell	94034	318	Georgia
Beaverton	93542	319	Oregon
Quincy	93494	320	Massachusetts
Sparks	93282	321	Nevada
Yakima	93257	322	Washington
Lee's Summit	93184	323	Missouri
Federal Way	92734	324	Washington
Carson	92599	325	California
Santa Monica	92472	326	California
Hesperia	92147	327	California
Allen	92020	328	Texas
Rio Rancho	91956	329	New Mexico
Yuma	91923	330	Arizona
Westminster	91739	331	California
Orem	91648	332	Utah
Lynn	91589	333	Massachusetts
Redding	91119	334	California
Spokane Valley	91113	335	Washington
Miami Beach	91026	336	Florida
League City	90983	337	Texas
Lawrence	90811	338	Kansas
Santa Barbara	90412	339	California
Plantation	90268	340	Florida
Sandy	90231	341	Utah
Sunrise	90116	342	Florida
Macon	89981	343	Georgia
Longmont	89919	344	Colorado
Boca Raton	89407	345	Florida
San Marcos	89387	346	California
Greenville	89130	347	North Carolina
Waukegan	88826	348	Illinois
Fall River	88697	349	Massachusetts
Chico	88077	350	California
Newton	87971	351	Massachusetts
San Leandro	87965	352	California
Reading	87893	353	Pennsylvania
Norwalk	87776	354	Connecticut
Fort Smith	87650	355	Arkansas
Newport Beach	87273	356	California
Asheville	87236	357	North Carolina
Nashua	87137	358	New Hampshire
Edmond	87004	359	Oklahoma
Whittier	86635	360	California
Nampa	86518	361	Idaho
Bloomington	86319	362	Minnesota
Deltona	86290	363	Florida
Hawthorne	86199	364	California
Duluth	86128	365	Minnesota
Carmel	85927	366	Indiana
Suffolk	85728	367	Virginia
Clifton	85390	368	New Jersey
Citrus Heights	85285	369	California
Livermore	85156	370	California
Tracy	84691	371	California
Alhambra	84577	372	California
Kirkland	84430	373	Washington
Trenton	84349	374	New Jersey
Ogden	84249	375	Utah
Hoover	84126	376	Alabama
Cicero	84103	377	Illinois
Fishers	83891	378	Indiana
Sugar Land	83860	379	Texas
Danbury	83684	380	Connecticut
Meridian	83596	381	Idaho
Indio	83539	382	California
Concord	83506	383	North Carolina
Menifee	83447	384	California
Champaign	83424	385	Illinois
Buena Park	82882	386	California
Troy	82821	387	Michigan
O'Fallon	82809	388	Missouri
Johns Creek	82788	389	Georgia
Bellingham	82631	390	Washington
Westland	82578	391	Michigan
Bloomington	82575	392	Indiana
Sioux City	82459	393	Iowa
Warwick	81971	394	Rhode Island
Hemet	81750	395	California
Longview	81443	396	Texas
Farmington Hills	81295	397	Michigan
Bend	81236	398	Oregon
Lakewood	81121	399	California
Merced	81102	400	California
Mission	81050	401	Texas
Chino	80988	402	California
Redwood City	80872	403	California
Edinburg	80836	404	Texas
Cranston	80566	405	Rhode Island
Parma	80429	406	Ohio
New Rochelle	79446	407	New York
Lake Forest	79312	408	California
Napa	79068	409	California
Hammond	78967	410	Indiana
Fayetteville	78960	411	Arkansas
Bloomington	78902	412	Illinois
Avondale	78822	413	Arizona
Somerville	78804	414	Massachusetts
Palm Coast	78740	415	Florida
Bryan	78709	416	Texas
Gary	78450	417	Indiana
Largo	78409	418	Florida
Brooklyn Park	78373	419	Minnesota
Tustin	78327	420	California
Racine	78199	421	Wisconsin
Deerfield Beach	78041	422	Florida
Lynchburg	78014	423	Virginia
Mountain View	77846	424	California
Medford	77677	425	Oregon
Lawrence	77657	426	Massachusetts
Bellflower	77593	427	California
Melbourne	77508	428	Florida
St. Joseph	77147	429	Missouri
Camden	76903	430	New Jersey
St. George	76817	431	Utah
Kennewick	76762	432	Washington
Baldwin Park	76635	433	California
Chino Hills	76572	434	California
Alameda	76419	435	California
Albany	76185	436	Georgia
Arlington Heights	75994	437	Illinois
Scranton	75806	438	Pennsylvania
Evanston	75570	439	Illinois
Kalamazoo	75548	440	Michigan
Baytown	75418	441	Texas
Upland	75413	442	California
Springdale	75229	443	Arkansas
Bethlehem	75018	444	Pennsylvania
Schaumburg	74907	445	Illinois
Mount Pleasant	74885	446	South Carolina
Auburn	74860	447	Washington
Decatur	74710	448	Illinois
San Ramon	74513	449	California
Pleasanton	74110	450	California
Wyoming	74100	451	Michigan
Lake Charles	74024	452	Louisiana
Plymouth	73987	453	Minnesota
Bolingbrook	73936	454	Illinois
Pharr	73790	455	Texas
Appleton	73596	456	Wisconsin
Gastonia	73209	457	North Carolina
Folsom	73098	458	California
Southfield	73006	459	Michigan
Rochester Hills	72952	460	Michigan
New Britain	72939	461	Connecticut
Goodyear	72864	462	Arizona
Canton	72535	463	Ohio
Warner Robins	72531	464	Georgia
Union City	72528	465	California
Perris	72326	466	California
Manteca	71948	467	California
Iowa City	71591	468	Iowa
Jonesboro	71551	469	Arkansas
Wilmington	71525	470	Delaware
Lynwood	71371	471	California
Loveland	71334	472	Colorado
Pawtucket	71172	473	Rhode Island
Boynton Beach	71097	474	Florida
Waukesha	71016	475	Wisconsin
Gulfport	71012	476	Mississippi
Apple Valley	70924	477	California
Passaic	70868	478	New Jersey
Rapid City	70812	479	South Dakota
Layton	70790	480	Utah
Lafayette	70373	481	Indiana
Turlock	70365	482	California
Muncie	70316	483	Indiana
Temple	70190	484	Texas
Missouri City	70185	485	Texas
Redlands	69999	486	California
Santa Fe	69976	487	New Mexico
Lauderhill	69813	488	Florida
Milpitas	69783	489	California
Palatine	69350	490	Illinois
Missoula	69122	491	Montana
Rock Hill	69103	492	South Carolina
Jacksonville	69079	493	North Carolina
Franklin	68886	494	Tennessee
Flagstaff	68667	495	Arizona
Flower Mound	68609	496	Texas
Weston	68388	497	Florida
Waterloo	68366	498	Iowa
Union City	68247	499	New Jersey
Mount Vernon	68224	500	New York
Fort Myers	68190	501	Florida
Dothan	68001	502	Alabama
Rancho Cordova	67911	503	California
Redondo Beach	67815	504	California
Jackson	67685	505	Tennessee
Pasco	67599	506	Washington
St. Charles	67569	507	Missouri
Eau Claire	67545	508	Wisconsin
North Richland Hills	67317	509	Texas
Bismarck	67034	510	North Dakota
Yorba Linda	67032	511	California
Kenner	66975	512	Louisiana
Walnut Creek	66900	513	California
Frederick	66893	514	Maryland
Oshkosh	66778	515	Wisconsin
Pittsburg	66695	516	California
Palo Alto	66642	517	California
Bossier City	66333	518	Louisiana
Portland	66318	519	Maine
St. Cloud	66297	520	Minnesota
Davis	66205	521	California
South San Francisco	66174	522	California
Camarillo	66086	523	California
North Little Rock	66075	524	Arkansas
Schenectady	65902	525	New York
Gaithersburg	65690	526	Maryland
Harlingen	65665	527	Texas
Woodbury	65656	528	Minnesota
Eagan	65453	529	Minnesota
Yuba City	65416	530	California
Maple Grove	65415	531	Minnesota
Youngstown	65184	532	Ohio
Skokie	65176	533	Illinois
Kissimmee	65173	534	Florida
Johnson City	65123	535	Tennessee
Victoria	65098	536	Texas
San Clemente	65040	537	California
Bayonne	65028	538	New Jersey
Laguna Niguel	64652	539	California
East Orange	64544	540	New Jersey
Shawnee	64323	541	Kansas
Homestead	64079	542	Florida
Rockville	64072	544	Maryland
Delray Beach	64072	543	Florida
Janesville	63820	545	Wisconsin
Conway	63816	546	Arkansas
Pico Rivera	63771	547	California
Lorain	63710	548	Ohio
Montebello	63495	549	California
Lodi	63338	550	California
New Braunfels	63279	551	Texas
Marysville	63269	552	Washington
Tamarac	63155	553	Florida
Madera	63105	554	California
Conroe	63032	555	Texas
Santa Cruz	62864	556	California
Eden Prairie	62603	557	Minnesota
Cheyenne	62448	558	Wyoming
Daytona Beach	62316	559	Florida
Alpharetta	62298	560	Georgia
Hamilton	62258	561	Ohio
Waltham	62227	562	Massachusetts
Coon Rapids	62103	563	Minnesota
Haverhill	62088	564	Massachusetts
Council Bluffs	61969	565	Iowa
Taylor	61817	566	Michigan
Utica	61808	567	New York
Ames	61792	568	Iowa
La Habra	61653	569	California
Encinitas	61588	570	California
Bowling Green	61488	571	Kentucky
Burnsville	61434	572	Minnesota
Greenville	61397	573	South Carolina
West Des Moines	61255	574	Iowa
Cedar Park	61238	575	Texas
Tulare	61170	576	California
Monterey Park	61085	577	California
Vineland	61050	578	New Jersey
Terre Haute	61025	579	Indiana
North Miami	61007	580	Florida
Mansfield	60872	581	Texas
West Allis	60697	582	Wisconsin
Bristol	60568	583	Connecticut
Taylorsville	60519	584	Utah
Malden	60509	585	Massachusetts
Meriden	60456	586	Connecticut
Blaine	60407	587	Minnesota
Wellington	60202	588	Florida
Cupertino	60189	589	California
Springfield	60177	590	Oregon
Rogers	60112	591	Arkansas
St. Clair Shores	60070	592	Michigan
Gardena	59957	593	California
Pontiac	59887	594	Michigan
National City	59834	595	California
Grand Junction	59778	596	Colorado
Rocklin	59738	597	California
Chapel Hill	59635	598	North Carolina
Casper	59628	599	Wyoming
Broomfield	59471	600	Colorado
Petaluma	59440	601	California
South Jordan	59366	602	Utah
Springfield	59357	603	Ohio
Great Falls	59351	604	Montana
Lancaster	59325	605	Pennsylvania
North Port	59212	606	Florida
Lakewood	59097	607	Washington
Marietta	59089	608	Georgia
San Rafael	58994	609	California
Royal Oak	58946	610	Michigan
Des Plaines	58918	611	Illinois
Huntington Park	58879	612	California
La Mesa	58642	613	California
Orland Park	58590	614	Illinois
Auburn	58582	615	Alabama
Lakeville	58562	616	Minnesota
Owensboro	58416	617	Kentucky
Moore	58414	618	Oklahoma
Jupiter	58298	619	Florida
Idaho Falls	58292	620	Idaho
Dubuque	58253	621	Iowa
Bartlett	58226	622	Tennessee
Rowlett	58043	623	Texas
Novi	57960	624	Michigan
White Plains	57866	625	New York
Arcadia	57639	626	California
Redmond	57530	627	Washington
Lake Elsinore	57525	628	California
Ocala	57468	629	Florida
Tinley Park	57282	630	Illinois
Port Orange	57203	631	Florida
Medford	57170	632	Massachusetts
Oak Lawn	57073	633	Illinois
Rocky Mount	56954	634	North Carolina
Kokomo	56895	635	Indiana
Coconut Creek	56792	636	Florida
Bowie	56759	637	Maryland
Berwyn	56758	638	Illinois
Midwest City	56756	639	Oklahoma
Fountain Valley	56707	640	California
Buckeye	56683	641	Arizona
Dearborn Heights	56620	642	Michigan
Woodland	56590	643	California
Noblesville	56540	644	Indiana
Valdosta	56481	645	Georgia
Diamond Bar	56449	646	California
Manhattan	56143	647	Kansas
Santee	56105	648	California
Taunton	56069	649	Massachusetts
Sanford	56002	650	Florida
Kettering	55870	651	Ohio
New Brunswick	55831	652	New Jersey
Decatur	55816	653	Alabama
Chicopee	55717	654	Massachusetts
Anderson	55670	655	Indiana
Margate	55456	656	Florida
Weymouth Town	55419	657	Massachusetts
Hempstead	55361	658	New York
Corvallis	55298	659	Oregon
Eastvale	55191	660	California
Porterville	55174	661	California
West Haven	55046	662	Connecticut
Brentwood	55000	663	California
Paramount	54980	664	California
Grand Forks	54932	665	North Dakota
Georgetown	54898	666	Texas
St. Peters	54842	667	Missouri
Shoreline	54790	668	Washington
Mount Prospect	54771	669	Illinois
Hanford	54686	670	California
Normal	54664	671	Illinois
Rosemead	54561	672	California
Lehi	54382	673	Utah
Pocatello	54350	674	Idaho
Highland	54291	675	California
Novato	54194	676	California
Port Arthur	54135	677	Texas
Carson City	54080	678	Nevada
San Marcos	54076	679	Texas
Hendersonville	54068	680	Tennessee
Elyria	53956	681	Ohio
Revere	53756	682	Massachusetts
Pflugerville	53752	683	Texas
Greenwood	53665	684	Indiana
Bellevue	53663	685	Nebraska
Wheaton	53648	686	Illinois
Smyrna	53438	687	Georgia
Sarasota	53326	688	Florida
Blue Springs	53294	689	Missouri
Colton	53243	690	California
Euless	53224	691	Texas
Castle Rock	53063	692	Colorado
Cathedral City	52977	693	California
Kingsport	52962	694	Tennessee
Lake Havasu City	52844	695	Arizona
Pensacola	52703	696	Florida
Hoboken	52575	697	New Jersey
Yucaipa	52536	698	California
Watsonville	52477	699	California
Richland	52413	700	Washington
Delano	52403	701	California
Hoffman Estates	52398	702	Illinois
Florissant	52363	703	Missouri
Placentia	52206	704	California
West New York	52122	705	New Jersey
Dublin	52105	706	California
Oak Park	52066	707	Illinois
Peabody	52044	708	Massachusetts
Perth Amboy	51982	709	New Jersey
Battle Creek	51848	710	Michigan
Bradenton	51763	711	Florida
Gilroy	51701	712	California
Milford	51644	713	Connecticut
Albany	51583	714	Oregon
Ankeny	51567	715	Iowa
La Crosse	51522	716	Wisconsin
Burlington	51510	717	North Carolina
DeSoto	51483	718	Texas
Harrisonburg	51395	719	Virginia
Minnetonka	51368	720	Minnesota
Elkhart	51265	721	Indiana
Lakewood	51143	722	Ohio
Glendora	51074	723	California
Southaven	50997	724	Mississippi
Charleston	50821	725	West Virginia
Joplin	50789	726	Missouri
Enid	50725	727	Oklahoma
Palm Beach Gardens	50699	728	Florida
Brookhaven	50603	729	Georgia
Plainfield	50588	730	New Jersey
Grand Island	50550	731	Nebraska
Palm Desert	50508	732	California
Huntersville	50458	733	North Carolina
Tigard	50444	734	Oregon
Lenexa	50344	735	Kansas
Saginaw	50303	736	Michigan
Kentwood	50233	737	Michigan
Doral	50213	738	Florida
Apple Valley	50201	739	Minnesota
Grapevine	50195	740	Texas
Aliso Viejo	50175	741	California
Sammamish	50169	742	Washington
Casa Grande	50111	743	Arizona
Pinellas Park	49998	744	Florida
Troy	49974	745	New York
West Sacramento	49891	746	California
Burien	49858	747	Washington
Commerce City	49799	748	Colorado
Monroe	49761	749	Louisiana
Cerritos	49707	750	California
Downers Grove	49670	751	Illinois
Coral Gables	49631	752	Florida
Wilson	49628	753	North Carolina
Niagara Falls	49468	754	New York
Poway	49417	755	California
Edina	49376	756	Minnesota
Cuyahoga Falls	49267	757	Ohio
Rancho Santa Margarita	49228	758	California
Harrisburg	49188	759	Pennsylvania
Huntington	49177	760	West Virginia
La Mirada	49133	761	California
Cypress	49087	762	California
Caldwell	48957	763	Idaho
Logan	48913	764	Utah
Galveston	48733	765	Texas
Sheboygan	48725	766	Wisconsin
Middletown	48630	767	Ohio
Murray	48612	768	Utah
Roswell	48611	769	New Mexico
Parker	48608	770	Colorado
Bedford	48592	771	Texas
East Lansing	48554	772	Michigan
Methuen	48514	773	Massachusetts
Covina	48508	774	California
Alexandria	48426	775	Louisiana
Olympia	48338	776	Washington
Euclid	48139	777	Ohio
Mishawaka	47989	778	Indiana
Salina	47846	779	Kansas
Azusa	47842	780	California
Newark	47777	781	Ohio
Chesterfield	47749	782	Missouri
Leesburg	47673	783	Virginia
Dunwoody	47591	784	Georgia
Hattiesburg	47556	785	Mississippi
Roseville	47555	786	Michigan
Bonita Springs	47547	787	Florida
Portage	47523	788	Michigan
St. Louis Park	47411	789	Minnesota
Collierville	47333	790	Tennessee
Middletown	47333	791	Connecticut
Stillwater	47186	792	Oklahoma
East Providence	47149	793	Rhode Island
Lawrence	47135	794	Indiana
Wauwatosa	47134	795	Wisconsin
Mentor	46979	796	Ohio
Ceres	46714	797	California
Cedar Hill	46663	798	Texas
Mansfield	46454	799	Ohio
Binghamton	46444	800	New York
Coeur d'Alene	46402	801	Idaho
San Luis Obispo	46377	802	California
Minot	46321	803	North Dakota
Palm Springs	46281	804	California
Pine Bluff	46094	805	Arkansas
Texas City	46081	806	Texas
Summerville	46074	807	South Carolina
Twin Falls	45981	808	Idaho
Jeffersonville	45929	809	Indiana
San Jacinto	45851	810	California
Madison	45799	811	Alabama
Altoona	45796	812	Pennsylvania
Columbus	45775	813	Indiana
Beavercreek	45712	814	Ohio
Apopka	45587	815	Florida
Elmhurst	45556	816	Illinois
Maricopa	45508	817	Arizona
Farmington	45426	818	New Mexico
Glenview	45417	819	Illinois
Cleveland Heights	45394	820	Ohio
Draper	45285	821	Utah
Lincoln	45237	822	California
Sierra Vista	45129	823	Arizona
Lacey	44919	824	Washington
Biloxi	44820	825	Mississippi
Strongsville	44730	826	Ohio
Barnstable Town	44641	827	Massachusetts
Wylie	44575	828	Texas
Sayreville	44412	829	New Jersey
Kannapolis	44359	830	North Carolina
Charlottesville	44349	831	Virginia
Littleton	44275	832	Colorado
Titusville	44206	833	Florida
Hackensack	44113	834	New Jersey
Newark	44096	835	California
Pittsfield	44057	836	Massachusetts
York	43935	837	Pennsylvania
Lombard	43907	838	Illinois
Attleboro	43886	839	Massachusetts
DeKalb	43849	840	Illinois
Blacksburg	43609	841	Virginia
Dublin	43607	842	Ohio
Haltom City	43580	843	Texas
Lompoc	43509	844	California
El Centro	43363	845	California
Danville	43341	846	California
Jefferson City	43330	847	Missouri
Cutler Bay	43328	848	Florida
Oakland Park	43286	849	Florida
North Miami Beach	43250	850	Florida
Freeport	43167	851	New York
Moline	43116	852	Illinois
Coachella	43092	853	California
Fort Pierce	43074	854	Florida
Smyrna	43060	855	Tennessee
Bountiful	43023	856	Utah
Fond du Lac	42970	857	Wisconsin
Everett	42935	858	Massachusetts
Danville	42907	859	Virginia
Keller	42907	860	Texas
Belleville	42895	861	Illinois
Bell Gardens	42889	862	California
Cleveland	42774	863	Tennessee
North Lauderdale	42757	864	Florida
Fairfield	42635	865	Ohio
Salem	42544	866	Massachusetts
Rancho Palos Verdes	42448	867	California
San Bruno	42443	868	California
Concord	42419	869	New Hampshire
Burlington	42284	870	Vermont
Apex	42214	871	North Carolina
Midland	42181	872	Michigan
Altamonte Springs	42150	873	Florida
Hutchinson	41889	874	Kansas
Buffalo Grove	41778	875	Illinois
Urbandale	41776	876	Iowa
State College	41757	877	Pennsylvania
Urbana	41752	878	Illinois
Plainfield	41734	879	Illinois
Manassas	41705	880	Virginia
Bartlett	41679	881	Illinois
Kearny	41664	882	New Jersey
Oro Valley	41627	883	Arizona
Findlay	41512	884	Ohio
Rohnert Park	41398	885	California
Westfield	41301	887	Massachusetts
Linden	41301	886	New Jersey
Sumter	41190	888	South Carolina
Wilkes-Barre	41108	889	Pennsylvania
Woonsocket	41026	890	Rhode Island
Leominster	41002	891	Massachusetts
Shelton	40999	892	Connecticut
Brea	40963	893	California
Covington	40956	894	Kentucky
Rockwall	40922	895	Texas
Meridian	40921	896	Mississippi
Riverton	40921	897	Utah
St. Cloud	40918	898	Florida
Quincy	40915	899	Illinois
Morgan Hill	40836	900	California
Warren	40768	901	Ohio
Edmonds	40727	902	Washington
Burleson	40714	903	Texas
Beverly	40664	904	Massachusetts
Mankato	40641	905	Minnesota
Hagerstown	40612	906	Maryland
Prescott	40590	907	Arizona
Campbell	40584	908	California
Cedar Falls	40566	909	Iowa
Beaumont	40481	910	California
La Puente	40435	911	California
Crystal Lake	40388	912	Illinois
